date,ticker,text,sentiment_score,day_return,close
2026-03-17 10:55:08,SLEN,"Губернатор Сахалина провел совещание с участием представителей Сахалинэнерго и РусГидро и потребовал разобраться в причинах масштабного отключения света на Сахалине 14 марта #SLEN #HYDR Подобный инцидент уже имел место в декабре прошлого года. Повторение считаю недопустимым, — сказал Валерий Лимаренко.",0.0,0.1506024096385644,3.325
2026-03-17 10:55:08,HYDR,"Губернатор Сахалина провел совещание с участием представителей Сахалинэнерго и РусГидро и потребовал разобраться в причинах масштабного отключения света на Сахалине 14 марта #SLEN #HYDR Подобный инцидент уже имел место в декабре прошлого года. Повторение считаю недопустимым, — сказал Валерий Лимаренко.",0.0,-0.2483630616391939,0.4418
2026-03-17 10:46:10,APRI,"АПРИ приступает к реализации 2-х проектов в Ставропольском крае и Ростовской области с потенциальным суммарным объемом застройки 550 тыс кв м. #APRI Мы видим колоссальный дефицит качественного номерного фонда в Кавминводах на фоне загрузки отелей, в высокий сезон она превышает 90%. Растущий спрос на внутренний туризм и ограниченное предложение со стороны гостиниц открывают для АПРИ уникальное инвестиционное окно. Кроме этого, развитие новых рекреационных проектов в Кавказских Минеральных Водах входит в число приоритетов в рамках Федерального плана комплексного развития городов-курортов региона до 2030 года, - сообщил Павел Крутолапов, гендиректор АПРИ.",1.0,-0.42706964520368773,15.155
2026-03-17 10:34:37,SNGS,"Кремль может рассчитывать на дальнейшее смягчение санкций со стороны Белого дома, если поставки ближневосточной нефти через пролив не возобновятся в полном объеме — Bloomberg #SNGS #SIBN",0.0,0.1552106430155217,22.585
2026-03-17 10:34:37,SIBN,"Кремль может рассчитывать на дальнейшее смягчение санкций со стороны Белого дома, если поставки ближневосточной нефти через пролив не возобновятся в полном объеме — Bloomberg #SNGS #SIBN",0.0,-0.22856098006948256,545.65
2026-03-17 10:31:03,ROSN,"Москва загружает нефть в танкеры: за неделю до 15 марта 37 танкеров погрузили 27,79 млн барр российской нефти, неделей ранее - 20,18 млн барр на 27 судах — Bloomberg #ROSN #LKOH",0.0,-0.18141503729087566,495.2
2026-03-17 10:31:03,LKOH,"Москва загружает нефть в танкеры: за неделю до 15 марта 37 танкеров погрузили 27,79 млн барр российской нефти, неделей ранее - 20,18 млн барр на 27 судах — Bloomberg #ROSN #LKOH",0.0,0.1049317943336831,5724.0
2026-03-17 10:24:16,GAZP,В ОАЭ вспыхнуло газовое месторождение из-за ударов Ирана — Bloomberg #GAZP,0.0,-0.443959809954041,127.82
2026-03-17 10:18:43,MRKV,"Чистая прибыль Россети Волга по МСФО за 2025 год выросла в 2,78 раза г/г до ₽11,04 млрд, выручка ₽129,25 млрд #MRKV",1.0,2.3199758963543355,0.1698
2026-03-17 10:13:32,MRKV,"Россети Волга РСБУ 2025 год: Выручка ₽129,05 млрд Чистая прибыль ₽10,89 млрд #MRKV",0.0,2.3199758963543355,0.1698
2026-03-17 10:08:44,HEAD,"Число открытых вакансий в январе-марте 2026 года в большинстве отраслей уменьшилось на 12% г/г, а количество резюме увеличилось на 22% г/г — Forbes со ссылкой на SuperJob #HEAD",0.0,-0.033200531208499334,3011.0
2026-03-17 09:46:12,LKOH,19 марта 2026 года - ЛУКОЙЛ - СД решит по дивидендам #LKOH,0.0,0.1049317943336831,5724.0
2026-03-17 09:27:12,BSPB,"БСПБ РСБУ за февраль 2026 года: Чистая прибыль ₽2,4 млрд Чистая прибыль за 2М ₽6,1 млрд Выручка ₽6,6 млрд Выручка за 2М ₽13,5 млрд #BSPB",0.0,-0.3077474678060213,333.66
2026-03-17 09:02:25,HNFG,Сеть одежды Modis подала заявление о банкротстве — Ъ #HNFG,0.0,-0.8731808731808708,476.8
2026-03-17 08:39:20,BELU,"Розничные продажи крепкого алкоголя в России в феврале снизились на 2,73% г/г и на 11,8% м/м, составив 14,82 млн дал — Ъ #BELU",0.0,0.04631773969430028,432.0
2026-03-17 08:06:51,MGNT,"Ритейлер Светофор сократил число магазинов на 11,6% по итогам 2025 года: сеть теряет позиции на фоне роста конкурентов и онлайн-торговли — Ведомости #MGNT #X5 #LENT",0.0,-0.15527950310559005,3215.0
2026-03-17 08:06:51,LENT,"Ритейлер Светофор сократил число магазинов на 11,6% по итогам 2025 года: сеть теряет позиции на фоне роста конкурентов и онлайн-торговли — Ведомости #MGNT #X5 #LENT",0.0,-1.197339246119734,2228.0
2026-03-17 07:39:19,PLZL,"Полюс фиксирует резкий рост себестоимости и ожидает дальнейшее увеличение затрат в 2026 году на 10–50%, до $810–1100 за унцию, из-за роста НДПИ и ухудшения качества добыча — Ъ #PLZL",0.0,0.15033826108744294,2398.2
2026-03-17 07:05:52,AKRN,Венгрия обратилась к ЕС с просьбой отменить пошлины на удобрения из РФ и Белоруссии на фоне войны в Иране — Politico #PHOR #AKRN,0.0,1.768520337983887,20716.0
2026-03-17 07:05:52,PHOR,Венгрия обратилась к ЕС с просьбой отменить пошлины на удобрения из РФ и Белоруссии на фоне войны в Иране — Politico #PHOR #AKRN,0.0,1.3630229419703104,7511.0
2026-03-16 21:23:13,UGLD,"ЮГК не комментирует арест ее средств, находится в тесном взаимодействии с госорганами — РИА Новости со ссылкой на пресс-службу компании #UGLD",0.0,-9.515214027849405,0.7018
2026-03-16 21:03:18,EUTR,Рентабельность продаж бензина на АЗС России к середине марта упала ниже прошлогоднего уровня из-за роста оптовых цен на нефтепродукты — Ъ #EUTR,0.0,0.0833333333333286,120.1
2026-03-16 20:18:14,LKOH,"Еврокомиссия рекомендует странам ЕС, включая Венгрию и Словакию, готовиться к полному запрету на импорт нефти из России — еврокомиссар по энергетике Дан Йоргенсен #LKOH",1.0,-2.2130725681935153,5700.0
2026-03-16 19:57:28,RUAL,Русал не видит рисков для российского рынка алюминия из-за ситуации вокруг Ирана и готов увеличить поставки при росте спроса на металл — РИА Новости #RUAL,0.0,-2.3155329049412843,44.085
2026-03-16 19:43:14,WUSH,"ВУШ МСФО 2025 г.: выручка ₽12,07 млрд чистый убыток ₽2,30 млрд #WUSH",0.0,2.0619635754657724,97.51
2026-03-16 18:26:25,UGLD,Акции ЮГК упали на 10% после наложения ареста на денежные средства компании #UGLD,0.0,-9.515214027849405,0.7018
2026-03-16 18:22:25,UGLD,На денежные средства ЮГК наложен арест. Сумма составляет 32 141 541 000 рублей #UGLD,0.0,-9.515214027849405,0.7018
2026-03-16 18:19:41,RUAL,"РУСАЛ РСБУ 2025 г.: выручка ₽164,04 млрд чистый убыток ₽5,7 млрд #RUAL",0.0,-2.3155329049412843,44.085
2026-03-16 18:04:55,SVCB,МНЕНИЕ: Ожидаем дивиденды Совкомбанка по итогам 2025 г. 60 коп. на акцию . Сохраняем целевую цену на уровне 20 руб. и рейтинг ПОКУПАТЬ — Ренессанс Капитал #SVCB,0.0,-0.7052709725315562,13.375
2026-03-16 17:37:54,PLZL,"Полюс по итогам 2025 года нарастил капитальные затраты до рекордного уровня $2,18 млрд за счет инвестиций в действующие и перспективные проекты. Общие денежные затраты достигли $739 на унцию, главным образом в результате роста НДПИ на фоне более высокой средней цены реализации золота. Производство составило 2,53 млн унций, что соответствует ранее заявленному гайденсу в диапазоне 2,5–2,6 млн унций, EBITDA выросла до $6,35 млрд . Чистый долг компании составил около $7,1 млрд, показатель Net debt/EBITDA — около 1,1x. Таким образом компания в целом выполняет заявленные ориентиры и подтверждает репутацию одного из наиболее предсказуемых эмитентов в секторе, что является важным фактором для инвесторов. #PLZL",1.0,-1.6119746689694985,2392.6
