date,ticker,text,sentiment_score,day_return,close
2026-03-17 15:29:09,LKOH,Крупнейшие китайские нефтяные компании Sinopec и PetroChina возобновляют закупки российской нефти после четырехмесячного перерыва — Reuters #ROSN #LKOH,0.0052,0.20111927247289263,5729.5
2026-03-17 15:29:09,ROSN,Крупнейшие китайские нефтяные компании Sinopec и PetroChina возобновляют закупки российской нефти после четырехмесячного перерыва — Reuters #ROSN #LKOH,0.0052,-0.2620439427534794,494.8
2026-03-17 15:20:59,GAZP,"Кая Каллас: На фоне стремительного роста цен на энергоносители у Европейского союза нет желания заключать сделки с Россией, в том числе за закрытыми дверями #GAZP #NVTK Мы союзники Америки, но в последнее время не совсем понимаем их действия. Думаю, после этого года стало ясно, что слово, которое мы должны принимать во внимание, — это непредсказуемость",-0.1076,-0.7321442479943793,127.45
2026-03-17 15:20:59,NVTK,"Кая Каллас: На фоне стремительного роста цен на энергоносители у Европейского союза нет желания заключать сделки с Россией, в том числе за закрытыми дверями #GAZP #NVTK Мы союзники Америки, но в последнее время не совсем понимаем их действия. Думаю, после этого года стало ясно, что слово, которое мы должны принимать во внимание, — это непредсказуемость",-0.1076,0.0,1353.8
2026-03-17 14:56:56,SVAV,Автоваз выделит коммерческие автомобили в отдельное направление Лада Бизнес #AVAZ #SVAV,0.027,-0.0975609756097561,512.0
2026-03-17 14:52:41,RTKM,"В 2025 году введено лишь 4,7 тыс новых стойко-мест в ЦОДах - минимальный показатель за последние 10 лет — РБК со ссылкой на iKS-Consulting #RTKM",0.148,0.1498002663115902,60.17
2026-03-17 14:43:24,UGLD,"Всё меньше шансов, что миноритарные акционеры ЮГК смогут получить достойные дивиденды по итогам 2025 года, несмотря на то, что золото сегодня находится на хаях — Ъ #UGLD",0.6985,-0.6695156695156591,0.6973
2026-03-17 14:35:02,AKRN,"При благоприятных событиях отдельные цеха Дорогобуж после ударов БПЛА сможет запустить в мае — губернатор Смоленской области Василий Анохин #DGBZ #AKRN Глава региона подчеркнул, что все работы ведутся в режиме строгой секретности.",-0.0002,1.1593633326783257,20592.0
2026-03-17 14:25:36,VKCO,Пользователям мессенджера Max стала доступна англоязычная версия приложения #VKCO,-0.0002,-0.24287564766839378,308.05
2026-03-17 14:17:04,FESH,Объем контейнерного рынка РФ в 2026 году будет на уровне 2025 года — Fesco #FESH,0.4423,-0.7862407862407812,60.57
